MI,Metropolitan Organizing Strategy Enabling Strength (MOSES),https://mosesmi.org/,Mothering Justice,https://motheringjustice.org/,We the People MI,https://www.wethepeoplemi.org/,ACCESS ,https://www.accesscommunity.org/,APIAVote Michigan,http://www.apiavotemi.org/,Detroit Action,https://detroitaction.org/
MN,Minnesota Youth Collective,https://www.mnyouthcollective.org/,RE: Power,https://repower.org/,ISAIAH,https://isaiahmn.org/
MS,Mississippi Votes,https://msvotes.org/,Emerge Mississippi,https://emergeamerica.org/emergems,Black Voters Matter Fund Mississippi,https://www.blackvotersmatterfund.org/
MO,Missouri Faith Voices,http://www.missourifaithvoices.org/,Action STL,https://twitter.com/actionstl?lang=en,KC Muslim Civic Initiative (MCI),https://squareup.com/store/mcikc
MT,Forward Montana,https://forwardmontana.org/,Western Native Voice,https://www.westernnativevoice.org/,Montana Human Rights Network,http://www.mhrn.org/
NE,Lead Locally,http://leadlocally.org/,Bold Nebraska and New Energy Voter PAC,http://boldnebraska.org/
NV,Emerge Nevada,http://nv.emergeamerica.org/,Make It Work Nevada,http://www.makeitworknevada.org,ACTIONN,https://actionn.org/
NH,New Hampshire Youth Movement (NHYM),https://www.nhyouthmovement.org/,The Granite State Organizing Project,http://granitestateorganizing.org/,Rights and Democracy New Hampshire,http://www.radnh.org/
NJ,Emerge New Jersey,http://nj.emergeamerica.org/,CAIR - New Jersey,http://nj.cair.com/,Faith in New Jersey,http://faithinnewjersey.org/
NM,SouthWest Organizing Project,http://www.swop.net/,Native American Voters Alliance (NAVA) Education Project,https://www.navaeducationproject.org/,NM Comunidades en Acción y de Fé (CAFé),http://organizenm.org/
NY,Youth Progressive Policy Group,https://yppg.org/,CAIR - New York,http://www.cair-ny.org/,Make the Road New York / Make the Road Action,http://maketheroad.org/
NC,North Carolina Asian Americans Together (NCAAT),http://ncaatogether.org/,Siembra NC,https://siembranc.org/,Action NC,http://www.actionnc.org/
ND,Native American Rights Fund,https://www.narf.org/,North Dakota Rural Voters,https://www.facebook.com/ndruralvoters/,Vote Mob North Dakota,https://votemob.org/north-dakota/
OH,Ohio Student Association (OSA),https://ohiostudentassociation.org/,Ohio Organizing Collaborative,https://www.ohorganizing.org/,The AMOS Project,https://theamosproject.org/
OK,CAIR - Oklahoma,http://ok.cair.com/,BOLD Oklahoma,http://boldoklahoma.org/
OR,Next Up Oregon,https://nextuporegon.org/,Asian Pacific American Network of Oregon (APANO),http://www.apano.org/,Causa of Oregon,http://causaoregon.org/
PA,Pittsburgh United,http://www.pittsburghunited.org/,Juntos,https://www.vamosjuntos.org/,POWER: Philadelphians Organized to Witness Empower & Rebuild,https://powerinterfaith.org/
RI,Emerge Rhode Island,https://emergeamerica.org/emergeri,Rhode Island Working Families,https://workingfamilies.org/states/rhode-island/
SC,Black Voters Matter - South Carolina,https://blackvotersmatterfund.org/south-carolina/,Emerge South Carolina,https://sc.emergeamerica.org/,Cypress Action Fund,http://www.cypressfund.org/
SD,Native Youth Leadership Alliance (NYLA),https://nativeyouthleadership.org/,SD Voices for Peace,https://www.sdvfpeace.org/
TN,SONG (Southerners on New Ground) - TN Chapter,https://southernersonnewground.org/chapter/nashville-tennessee/,Black Voters Matter - Tennessee,https://www.blackvotersmatterfund.org/,Stand Up Nashville,https://standupnashville.org/
TX,Texas Organizing Project,https://organizetexas.org/,Jolt,https://jolttx.org/,MOVE Texas,https://movetexas.org/,Faith in Texas,http://www.faithintx.org/,Emerge Texas,https://emergeamerica.org/emergetx,Border Network for Human Rights,https://bnhr.org/
UT,Voterise,https://voterise.org/,Alliance for a Better Utah,https://betterutah.org/
VT,Emerge Vermont,http://vt.emergeamerica.org/,Vermont Interfaith Action,http://www.viavt.org/,Rights and Democracy Vermont,http://www.radvt.org/
VA,Virginia Student Power Network,https://www.facebook.com/VAstudentpower/?fref=ts,Emerge Virginia,http://www.emergeva.org/,New Virginia Majority,http://www.newvirginiamajority.org/
WA,The Washington Bus,http://www.washingtonbus.org/,Emerge Washington,http://wa.emergeamerica.org/,NDWA - Seattle Chapter,https://www.domesticworkers.org/national-affiliates#
WV,Our Future West Virginia,https://www.ourfuturewv.org/,West Virginia Citizen Action Group,https://wvcag.org/,West Virginia Working Families Party,http://workingfamilies.org/states/west-virginia/
WI,Leaders Igniting Transformation (LIT) Milwaukee,https://www.litmke.org/,Emerge Wisconsin,http://wi.emergeamerica.org/,Black Leaders Organizing Communities (BLOC),https://www.blocbybloc.org/
WY,Forward Wyoming,https://www.forwardwyoming.org/
